"Date","Price","Open","High","Low","Change %"
"04/29/2024","4.980","5.028","5.028","4.976","-1.69%"
"04/28/2024","5.065","5.065","5.065","5.065","0.53%"
"04/26/2024","5.039","4.945","5.039","4.943","0.35%"
"04/25/2024","5.022","4.981","5.024","4.978","1.55%"
"04/24/2024","4.945","4.913","4.990","4.913","0.73%"
"04/23/2024","4.909","4.960","4.960","4.900","-0.89%"
"04/22/2024","4.953","4.890","4.963","4.890","-0.03%"
"04/21/2024","4.955","4.924","4.955","4.924","1.32%"
"04/19/2024","4.890","4.930","4.955","4.870","-0.81%"
"04/18/2024","4.930","4.998","4.998","4.920","-1.20%"
"04/17/2024","4.990","4.925","5.013","4.920","1.40%"
"04/16/2024","4.921","4.845","4.929","4.845","1.57%"
"04/15/2024","4.845","4.913","4.913","4.845","-1.46%"
"04/14/2024","4.917","4.948","4.948","4.917","0.08%"
"04/12/2024","4.913","4.843","4.920","4.843","1.45%"
"04/11/2024","4.843","4.715","4.873","4.715","2.63%"
"04/10/2024","4.719","4.800","4.800","4.713","-1.61%"
"04/09/2024","4.796","4.775","4.810","4.770","0.55%"
"04/08/2024","4.770","4.673","4.775","4.673","0.41%"
"04/07/2024","4.751","4.702","4.753","4.702","1.70%"
"04/05/2024","4.671","4.685","4.685","4.650","-0.36%"
"04/04/2024","4.688","4.670","4.695","4.670","0.17%"
"04/03/2024","4.680","4.678","4.748","4.665","-0.02%"
"04/02/2024","4.681","4.625","4.710","4.615","-1.13%"
"04/01/2024","4.734","4.653","4.734","4.642","2.61%"
"03/28/2024","4.614","4.645","4.645","4.600","-0.52%"
"03/27/2024","4.638","4.645","4.670","4.635","-0.24%"
"03/26/2024","4.649","4.583","4.658","4.580","1.53%"
"03/25/2024","4.579","4.610","4.610","4.568","-0.62%"
"03/24/2024","4.608","4.637","4.637","4.608","0.27%"
"03/22/2024","4.595","4.623","4.643","4.595","-0.48%"
"03/21/2024","4.617","4.620","4.623","4.489","0.02%"
"03/20/2024","4.616","4.690","4.690","4.616","-1.35%"
"03/19/2024","4.679","4.718","4.738","4.679","-0.83%"
"03/18/2024","4.718","4.730","4.758","4.708","-1.00%"
"03/17/2024","4.766","4.760","4.774","4.751","0.90%"
"03/15/2024","4.723","4.683","4.748","4.683","0.75%"
"03/14/2024","4.688","4.670","4.710","4.670","0.19%"
"03/13/2024","4.679","4.625","4.680","4.625","1.26%"
"03/12/2024","4.621","4.625","4.640","4.618","-0.13%"
"03/11/2024","4.627","4.670","4.670","4.618","-0.89%"
"03/10/2024","4.668","4.700","4.700","4.663","0.08%"
"03/08/2024","4.665","4.695","4.710","4.660","-0.64%"
"03/07/2024","4.695","4.705","4.705","4.660","-0.02%"
"03/06/2024","4.696","4.783","4.783","4.693","-1.63%"
"03/05/2024","4.774","4.770","4.795","4.763","0.27%"
"03/04/2024","4.761","4.790","4.793","4.758","-0.74%"
"03/03/2024","4.797","4.823","4.826","4.797","0.24%"
"03/01/2024","4.785","4.778","4.795","4.765","0.36%"
"02/29/2024","4.768","4.780","4.800","4.765","-0.15%"
"02/28/2024","4.775","4.868","4.903","4.771","-2.01%"
"02/27/2024","4.873","4.848","4.883","4.848","0.62%"
"02/26/2024","4.843","4.890","4.900","4.838","-1.03%"
"02/25/2024","4.893","4.924","4.935","4.891","0.09%"
"02/23/2024","4.889","4.865","4.900","4.855","0.49%"
"02/22/2024","4.865","4.860","4.900","4.860","0.29%"
"02/21/2024","4.851","4.880","4.900","4.851","-0.66%"
"02/20/2024","4.883","4.913","4.923","4.880","-0.51%"
"02/19/2024","4.908","4.885","4.913","4.885","-0.29%"
"02/18/2024","4.923","4.919","4.927","4.919","0.87%"
"02/16/2024","4.880","4.835","4.885","4.825","1.24%"
"02/15/2024","4.820","4.973","4.973","4.820","-2.92%"
"02/14/2024","4.965","4.900","4.980","4.900","1.55%"
"02/13/2024","4.889","4.903","4.923","4.888","-0.29%"
"02/12/2024","4.903","4.875","4.945","4.875","-1.58%"
"02/11/2024","4.982","4.910","4.982","4.910","2.10%"
"02/09/2024","4.879","4.785","4.888","4.785","1.96%"
"02/08/2024","4.785","4.790","4.840","4.785","-0.10%"
"02/07/2024","4.790","4.703","4.795","4.703","0.28%"
"02/06/2024","4.777","4.734","4.792","4.734","1.50%"
"02/05/2024","4.706","4.593","4.720","4.593","-0.30%"
"02/04/2024","4.720","4.621","4.726","4.621","2.70%"
"02/02/2024","4.596","4.605","4.605","4.558","-0.30%"
"02/01/2024","4.610","4.633","4.633","4.548","-0.22%"
"01/31/2024","4.620","4.698","4.710","4.620","-1.39%"
"01/30/2024","4.685","4.745","4.745","4.678","-1.01%"
"01/29/2024","4.733","4.710","4.755","4.705","-0.05%"
"01/28/2024","4.735","4.740","4.740","4.735","0.43%"
"01/26/2024","4.715","4.763","4.765","4.705","-1.01%"
"01/25/2024","4.763","4.750","4.798","4.750","0.46%"
"01/24/2024","4.741","4.700","4.785","4.695","1.13%"
"01/23/2024","4.688","4.728","4.728","4.688","-0.85%"
"01/22/2024","4.728","4.795","4.795","4.698","-1.86%"
"01/21/2024","4.818","4.827","4.827","4.818","0.57%"
"01/19/2024","4.790","4.730","4.820","4.725","1.38%"
"01/18/2024","4.725","4.668","4.738","4.668","1.18%"
"01/17/2024","4.670","4.648","4.693","4.648","0.76%"
"01/16/2024","4.635","4.608","4.655","4.601","0.63%"
"01/15/2024","4.606","4.630","4.650","4.598","-0.76%"
"01/14/2024","4.641","4.659","4.680","4.636","-0.03%"
"01/12/2024","4.643","4.735","4.735","4.630","-1.84%"
"01/11/2024","4.730","4.723","4.740","4.718","0.25%"
"01/10/2024","4.718","4.660","4.725","4.648","1.44%"
"01/09/2024","4.651","4.675","4.675","4.622","-0.41%"
"01/08/2024","4.670","4.635","4.695","4.623","-0.63%"
"01/07/2024","4.700","4.663","4.705","4.652","1.50%"
"01/05/2024","4.630","4.568","4.650","4.568","1.76%"
"01/04/2024","4.550","4.518","4.518","4.508","0.53%"
"01/03/2024","4.526","4.400","4.530","4.400","0.72%"
"01/02/2024","4.494","4.424","4.494","4.424","2.33%"
"12/29/2023","4.391","4.380","4.405","4.380","0.18%"
"12/28/2023","4.383","4.475","4.475","4.379","-2.03%"
"12/27/2023","4.474","4.543","4.543","4.470","-1.92%"
"12/26/2023","4.562","4.569","4.569","4.562","0.52%"
"12/22/2023","4.538","4.513","4.568","4.506","0.67%"
"12/21/2023","4.508","4.555","4.555","4.480","-0.77%"
"12/20/2023","4.543","4.590","4.590","4.543","-1.24%"
"12/19/2023","4.600","4.595","4.623","4.581","0.41%"
"12/18/2023","4.581","4.640","4.640","4.581","-0.81%"
"12/17/2023","4.619","4.669","4.669","4.619","-0.53%"
"12/15/2023","4.643","4.638","4.648","4.620","-0.06%"
"12/14/2023","4.646","4.848","4.848","4.628","-4.17%"
"12/13/2023","4.848","4.945","4.945","4.838","-1.96%"
"12/12/2023","4.945","4.968","4.973","4.945","-0.46%"
"12/11/2023","4.968","4.945","4.988","4.945","-0.95%"
"12/10/2023","5.016","4.982","5.016","4.982","1.43%"
"12/08/2023","4.945","4.895","4.953","4.885","1.02%"
"12/07/2023","4.895","4.908","4.920","4.870","-0.16%"
"12/06/2023","4.903","4.988","4.988","4.850","-1.70%"
"12/05/2023","4.988","5.010","5.033","4.978","-0.44%"
"12/04/2023","5.010","5.060","5.060","5.003","-0.62%"
"12/03/2023","5.042","5.100","5.100","5.042","-0.37%"
"12/01/2023","5.060","4.950","5.070","4.950","2.22%"
"11/30/2023","4.950","4.980","4.986","4.908","-0.60%"
"11/29/2023","4.980","5.018","5.100","4.970","-0.56%"
"11/28/2023","5.008","5.090","5.090","5.000","-1.61%"
"11/27/2023","5.090","5.055","5.110","5.052","-0.24%"
"11/26/2023","5.102","5.095","5.102","5.091","0.94%"
