"Date","Price","Open","High","Low","Change %"
"06/07/2024","4.2640","4.1820","4.2720","4.1700","2.08%"
"06/06/2024","4.1770","4.1950","4.2060","4.1650","-0.26%"
"06/05/2024","4.1880","4.2060","4.2200","4.1780","0.17%"
"06/04/2024","4.1810","4.2360","4.2370","4.1610","-1.06%"
"06/03/2024","4.2260","4.3060","4.3190","4.2220","-2.27%"
"05/31/2024","4.3240","4.3610","4.3920","4.3030","-0.51%"
"05/30/2024","4.3460","4.3980","4.4010","4.3460","-1.43%"
"05/29/2024","4.4090","4.3270","4.4090","4.3150","2.89%"
"05/28/2024","4.2850","4.2320","4.2880","4.2140","-0.26%"
"05/27/2024","4.2960","4.2960","4.2960","4.2960","0.73%"
"05/24/2024","4.2650","4.2600","4.2940","4.2430","0.07%"
"05/23/2024","4.2620","4.2340","4.2830","4.2000","0.57%"
"05/22/2024","4.2380","4.2380","4.2530","4.2230","2.49%"
"05/21/2024","4.1350","4.1740","4.1750","4.1280","-0.91%"
"05/20/2024","4.1730","4.1390","4.1760","4.1230","1.02%"
"05/17/2024","4.1310","4.0820","4.1360","4.0760","1.18%"
"05/16/2024","4.0830","4.0500","4.0840","4.0460","0.29%"
"05/15/2024","4.0710","4.1460","4.1480","4.0620","-2.51%"
"05/14/2024","4.1760","4.1790","4.2120","4.1390","-0.02%"
"05/13/2024","4.1770","4.1580","4.1790","4.1370","0.14%"
"05/10/2024","4.1710","4.1320","4.1750","4.0960","0.68%"
"05/09/2024","4.1430","4.1410","4.1870","4.1280","0.02%"
"05/08/2024","4.1420","4.1440","4.1590","4.1260","0.29%"
"05/07/2024","4.1300","4.2230","4.2250","4.1260","-2.32%"
"05/03/2024","4.2280","4.2910","4.2930","4.1940","-1.45%"
"05/02/2024","4.2900","4.3310","4.3360","4.2850","-1.85%"
"05/01/2024","4.3710","4.3660","4.3940","4.3440","0.46%"
"04/30/2024","4.3510","4.3040","4.3580","4.2920","1.35%"
"04/29/2024","4.2930","4.3110","4.3210","4.2790","-0.83%"
"04/26/2024","4.3290","4.3520","4.3600","4.2960","-0.94%"
"04/25/2024","4.3700","4.3390","4.3960","4.3090","0.74%"
"04/24/2024","4.3380","4.2860","4.3620","4.2730","2.17%"
"04/23/2024","4.2460","4.2190","4.2840","4.2080","0.90%"
"04/22/2024","4.2080","4.2590","4.2640","4.2050","-0.54%"
"04/19/2024","4.2310","4.2410","4.2910","4.2260","-1.14%"
"04/18/2024","4.2800","4.2260","4.2800","4.2080","0.35%"
"04/17/2024","4.2650","4.3200","4.3340","4.2630","-0.81%"
"04/16/2024","4.3000","4.2700","4.3330","4.2450","1.34%"
"04/15/2024","4.2430","4.1830","4.2620","4.1760","2.56%"
"04/12/2024","4.1370","4.1860","4.2060","4.0990","-1.64%"
"04/11/2024","4.2060","4.1810","4.2480","4.1600","1.30%"
"04/10/2024","4.1520","4.0370","4.1530","4.0060","3.03%"
"04/09/2024","4.0300","4.0830","4.0840","4.0220","-1.44%"
"04/08/2024","4.0890","4.1060","4.1300","4.0850","0.47%"
"04/05/2024","4.0700","4.0080","4.0980","4.0080","1.19%"
"04/04/2024","4.0220","4.0430","4.0590","3.9810","-0.96%"
