PERMNO,date,ticker,divamt,prc,ret,retx,vwretd,vwretx
89468,2024-01-25,TLT,,93.96,0.006535,0.006535,0.005203,0.005158
89468,2024-01-26,TLT,,93.78,-0.001916,-0.001916,0.000044,0.000041
89468,2024-01-29,TLT,,94.86,0.011516,0.011516,0.008416,0.00839
89468,2024-01-30,TLT,,95.72,0.009066,0.009066,-0.001334,-0.001428
89468,2024-01-31,TLT,,96.66,0.00982,0.00982,-0.015799,-0.015827
89468,2024-02-01,TLT,0.31012,98.24,0.019554,0.016346,0.012365,0.012254
89468,2024-02-02,TLT,,96.07,-0.022089,-0.022089,0.007568,0.007514
89468,2024-02-05,TLT,,94.13,-0.020194,-0.020194,-0.004994,-0.005013
89468,2024-02-06,TLT,,95.05,0.009774,0.009774,0.003588,0.003538
89468,2024-02-07,TLT,,94.59,-0.00484,-0.00484,0.006775,0.00676
89468,2024-02-08,TLT,,94.04,-0.005815,-0.005815,0.002366,0.002264
89468,2024-02-09,TLT,,93.85,-0.00202,-0.00202,0.006382,0.006307
89468,2024-02-12,TLT,,93.96,0.001172,0.001172,0.000951,0.000929
89468,2024-02-13,TLT,,92.35,-0.017135,-0.017135,-0.016421,-0.016506
89468,2024-02-14,TLT,,92.82,0.005089,0.005089,0.011508,0.011339
89468,2024-02-15,TLT,,93.3,0.005171,0.005171,0.008273,0.008098
89468,2024-02-16,TLT,,92.76,-0.005788,-0.005788,-0.004713,-0.004845
89468,2024-02-20,TLT,,92.84,0.000862,0.000862,-0.006418,-0.006454
89468,2024-02-21,TLT,,92.18,-0.007109,-0.007109,0.000158,0.000116
89468,2024-02-22,TLT,,92.63,0.004882,0.004882,0.018433,0.018384
89468,2024-02-23,TLT,,93.87,0.013387,0.013387,0.000687,0.000661
89468,2024-02-26,TLT,,93.59,-0.002983,-0.002983,-0.002388,-0.002415
89468,2024-02-27,TLT,,92.93,-0.007052,-0.007052,0.002686,0.002655
89468,2024-02-28,TLT,,93.52,0.006349,0.006349,-0.002149,-0.002235
89468,2024-02-29,TLT,,94.18,0.007057,0.007057,0.005377,0.005195
89468,2024-03-01,TLT,0.29523,94.47,0.006214,0.003079,0.008189,0.00806
89468,2024-03-04,TLT,,94.09,-0.004022,-0.004022,-0.001162,-0.001193
89468,2024-03-05,TLT,,95.43,0.014242,0.014242,-0.009572,-0.009593
89468,2024-03-06,TLT,,95.99,0.005868,0.005868,0.005899,0.005834
89468,2024-03-07,TLT,,95.9,-0.000938,-0.000938,0.009929,0.009819
89468,2024-03-08,TLT,,95.73,-0.001773,-0.001773,-0.005701,-0.005773
89468,2024-03-11,TLT,,95.68,-0.000522,-0.000522,-0.001447,-0.001456
89468,2024-03-12,TLT,,94.88,-0.008361,-0.008361,0.009405,0.009368
89468,2024-03-13,TLT,,94.42,-0.004848,-0.004848,-0.000746,-0.000786
89468,2024-03-14,TLT,,92.97,-0.015357,-0.015357,-0.004847,-0.005131
89468,2024-03-15,TLT,,92.94,-0.000323,-0.000323,-0.005012,-0.0051
89468,2024-03-18,TLT,,92.66,-0.003013,-0.003013,0.004593,0.004538
89468,2024-03-19,TLT,,92.92,0.002806,0.002806,0.005022,0.005011
89468,2024-03-20,TLT,,92.89,-0.000323,-0.000323,0.010377,0.010259
89468,2024-03-21,TLT,,93.09,0.002153,0.002153,0.003784,0.003674
89468,2024-03-22,TLT,,93.98,0.009561,0.009561,-0.002728,-0.002831
89468,2024-03-25,TLT,,93.51,-0.005001,-0.005001,-0.002195,-0.002198
89468,2024-03-26,TLT,,93.77,0.00278,0.00278,-0.002214,-0.002217
89468,2024-03-27,TLT,,94.7,0.009918,0.009918,0.009376,0.009201
89468,2024-03-28,TLT,,94.62,-0.000845,-0.000845,0.001425,0.001395
89468,2024-04-01,TLT,0.31242,92.55,-0.018575,-0.021877,-0.00287,-0.002964
89468,2024-04-02,TLT,,92.04,-0.005511,-0.005511,-0.007896,-0.00792
89468,2024-04-03,TLT,,92.02,-0.000217,-0.000217,0.002158,0.002123
89468,2024-04-04,TLT,,92.68,0.007172,0.007172,-0.011202,-0.011293
89468,2024-04-05,TLT,,91.39,-0.013919,-0.013919,0.009819,0.00981
89468,2024-04-08,TLT,,91.38,-0.000109,-0.000109,0.000671,0.000635
89468,2024-04-09,TLT,,92.23,0.009302,0.009302,0.001795,0.001689
89468,2024-04-10,TLT,,90.22,-0.021793,-0.021793,-0.011114,-0.011133
89468,2024-04-11,TLT,,89.81,-0.004544,-0.004544,0.006354,0.00633
89468,2024-04-12,TLT,,90.29,0.005345,0.005345,-0.014894,-0.014986
89468,2024-04-15,TLT,,88.89,-0.015506,-0.015506,-0.012224,-0.012236
89468,2024-04-16,TLT,,88.3,-0.006637,-0.006637,-0.002789,-0.002793
89468,2024-04-17,TLT,,89.28,0.011098,0.011098,-0.005513,-0.005516
89468,2024-04-18,TLT,,88.83,-0.00504,-0.00504,-0.002084,-0.002132
89468,2024-04-19,TLT,,89.15,0.003602,0.003602,-0.006374,-0.00641
89468,2024-04-22,TLT,,89,-0.001683,-0.001683,0.008478,0.008379
89468,2024-04-23,TLT,,89.03,0.000337,0.000337,0.012243,0.012223
89468,2024-04-24,TLT,,88.4,-0.007076,-0.007076,-0.000467,-0.000496
89468,2024-04-25,TLT,,87.78,-0.007014,-0.007014,-0.003958,-0.003976
89468,2024-04-26,TLT,,88.24,0.00524,0.00524,0.009415,0.009386
89468,2024-04-29,TLT,,88.98,0.008386,0.008386,0.003706,0.003638
89468,2024-04-30,TLT,,88.22,-0.008541,-0.008541,-0.01622,-0.016257
89468,2024-05-01,TLT,0.30774,88.56,0.007342,0.003854,-0.002178,-0.002301
89468,2024-05-02,TLT,,88.94,0.004291,0.004291,0.010178,0.01015
89468,2024-05-03,TLT,,89.84,0.010119,0.010119,0.011428,0.011387
89468,2024-05-06,TLT,,90.19,0.003896,0.003896,0.010648,0.010622
89468,2024-05-07,TLT,,90.74,0.006098,0.006098,0.000938,0.000894
89468,2024-05-08,TLT,,90.19,-0.006061,-0.006061,-0.00102,-0.001032
89468,2024-05-09,TLT,,90.63,0.004879,0.004879,0.00588,0.005714
89468,2024-05-10,TLT,,90.12,-0.005627,-0.005627,0.000732,0.000581
89468,2024-05-13,TLT,,90.35,0.002552,0.002552,-0.000024,-0.00004
89468,2024-05-14,TLT,,90.86,0.005645,0.005645,0.005802,0.00567
89468,2024-05-15,TLT,,92.1,0.013647,0.013647,0.011286,0.011147
89468,2024-05-16,TLT,,92.01,-0.000977,-0.000977,-0.002303,-0.002469
89468,2024-05-17,TLT,,91.39,-0.006738,-0.006738,0.001631,0.001553
89468,2024-05-20,TLT,,91.12,-0.002954,-0.002954,0.001426,0.001351
89468,2024-05-21,TLT,,91.59,0.005158,0.005158,0.001352,0.001316
89468,2024-05-22,TLT,,91.7,0.001201,0.001201,-0.003777,-0.003809
89468,2024-05-23,TLT,,91.11,-0.006434,-0.006434,-0.008627,-0.008665
89468,2024-05-24,TLT,,91.38,0.002963,0.002963,0.007304,0.00728
89468,2024-05-28,TLT,,90.07,-0.014336,-0.014336,-0.000542,-0.000542
89468,2024-05-29,TLT,,88.98,-0.012102,-0.012102,-0.008469,-0.008486
89468,2024-05-30,TLT,,89.84,0.009665,0.009665,-0.002984,-0.003058
89468,2024-05-31,TLT,,90.45,0.00679,0.00679,0.007227,0.007124
89468,2024-06-03,TLT,0.3083,91.6,0.016123,0.012714,0.000074,-0.000109
89468,2024-06-04,TLT,,92.67,0.011681,0.011681,-0.00091,-0.000958
89468,2024-06-05,TLT,,93.35,0.007338,0.007338,0.011596,0.01158
89468,2024-06-06,TLT,,93.21,-0.0015,-0.0015,-0.000278,-0.000299
89468,2024-06-07,TLT,,91.5,-0.018346,-0.018346,-0.003188,-0.003332
89468,2024-06-10,TLT,,90.89,-0.006667,-0.006667,0.003009,0.002931
89468,2024-06-11,TLT,,91.83,0.010342,0.010342,0.001215,0.001075
89468,2024-06-12,TLT,,92.52,0.007514,0.007514,0.009215,0.009187
89468,2024-06-13,TLT,,93.88,0.0147,0.0147,-0.000227,-0.000249
89468,2024-06-14,TLT,,94.67,0.008415,0.008415,-0.001966,-0.002208
89468,2024-06-17,TLT,,93.73,-0.009929,-0.009929,0.007148,0.00704
89468,2024-06-18,TLT,,94.59,0.009175,0.009175,0.002286,0.002249
89468,2024-06-20,TLT,,93.96,-0.00666,-0.00666,-0.002235,-0.002243
89468,2024-06-21,TLT,,93.96,0,0,-0.001147,-0.001283
